Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Obama,Romney,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Washington Times/JZ Analytics,2012-10-05,2012-10-07,2012-10-09T11:46:56Z,800,Likely Voters,Live Phone,45.0,45.0,10.0,,https://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-15625,http://www.jzanalytics.com/DATA/10_08_12_TWT_ZOGBY_LV_POLL,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-10-04,2012-10-07,2012-10-09T10:17:02Z,1300,Likely Voters,Automated Phone,47.0,49.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15619,http://www.dailykos.com/weeklypolling/2012/10/4,Sponsor,Dem,,1
Pew,2012-10-04,2012-10-07,2012-10-08T16:03:13Z,1112,Likely Voters,Live Phone,45.0,49.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/pew-15602,http://www.people-press.org/2012/10/08/romneys-strong-debate-performance-erases-obamas-lead/,Nonpartisan,None,,1
Gallup,2012-10-01,2012-10-07,2012-10-08T12:40:22Z,3050,Registered Voters,Live Phone,50.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-15596,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-10-04,2012-10-06,2012-10-07T09:31:18Z,1500,Likely Voters,Automated Phone,47.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15571,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-10-01,2012-10-05,2012-10-05T16:32:10Z,1434,Likely Voters,Internet,46.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15558,http://www.reuters.com/article/2012/10/05/us-usa-campaign-poll-idUSBRE8931E420121005,Nonpartisan,None,,1
Clarus,2012-10-04,2012-10-04,2012-10-06T08:47:11Z,590,Likely Voters,Live Phone,46.0,47.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/clarus-15562,http://clarusrg.com/content/october-5-2012,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-10-01,2012-10-04,2012-10-08T10:57:02Z,1000,Likely Voters,Live Phone,49.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15584,http://www.politico.com/news/stories/1012/82122.html,Nonpartisan,None,,1
Rasmussen,2012-10-01,2012-10-03,2012-10-04T09:24:59Z,1500,Likely Voters,Automated Phone,49.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15511,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Clarus,2012-10-02,2012-10-02,2012-10-06T08:46:17Z,590,Likely Voters,Live Phone,49.0,45.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/clarus-15561,http://clarusrg.com/content/october-5-2012,Nonpartisan,None,,1
McLaughlin (R-American Conservative Union),2012-09-30,2012-10-02,2012-10-05T11:06:48Z,1000,Likely Voters,Live Phone,49.0,45.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-american-conservative-union-15543,http://mclaughlinonline.com/lib/sitefiles/National_ACU_10-3-12_Presentation_ACU.pdf,Sponsor,Rep,,1
YouGov/Economist,2012-09-29,2012-10-01,2012-10-04T09:38:02Z,785,Likely Voters,Internet,49.0,44.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-15515,http://cdn.yougov.com/cumulus_uploads/document/j7g41wxzsz/econToplines.pdf,Nonpartisan,None,,1
CNN,2012-09-28,2012-09-30,2012-10-01T15:43:53Z,783,Likely Voters,Live Phone,50.0,47.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/cnn-15442,http://i2.cdn.turner.com/cnn/2012/images/10/01/rel11a.pdf,Nonpartisan,None,,1
Rasmussen,2012-09-28,2012-09-30,2012-10-01T09:55:58Z,1500,Likely Voters,Automated Phone,48.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15423,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
United Technologies/National Journal,2012-09-27,2012-09-30,2012-10-03T07:05:17Z,789,Likely Voters,Live Phone,47.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/united-technologies-national-journal-15484,http://www.nationaljournal.com/daily/obama-romney-tied-among-likely-voters-20121002,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-09-27,2012-09-30,2012-10-02T13:58:49Z,1100,Likely Voters,Automated Phone,49.0,45.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15473,http://elections.dailykos.com/weeklypolling/2012/9/27,Sponsor,Dem,,1
ARG,2012-09-27,2012-09-30,2012-10-01T11:55:50Z,1200,Likely Voters,Live Phone,49.0,46.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/arg-15432,http://americanresearchgroup.com/,Nonpartisan,None,,1
NPR,2012-09-26,2012-09-30,2012-10-03T11:26:31Z,800,Likely Voters,Live Phone,51.0,44.0,3.0,2.0,https://elections.huffingtonpost.com/pollster/polls/npr-15489,http://media.npr.org/documents/2012/oct/nprpoll.pdf,Pollster,Dem,,1
NBC/WSJ,2012-09-26,2012-09-30,2012-10-02T21:12:44Z,832,Likely Voters,Live Phone,49.0,46.0,3.0,2.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-15480,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBCNews-WSJPoll_9-12.pdf,Nonpartisan,None,,1
Quinnipiac,2012-09-25,2012-09-30,2012-10-02T06:11:10Z,1912,Likely Voters,Live Phone,49.0,45.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/quinnipiac-15449,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1801,Nonpartisan,None,,1
Gallup,2012-09-24,2012-09-30,2012-10-01T12:53:04Z,3050,Registered Voters,Live Phone,49.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-15438,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Washington Times/JZ Analytics,2012-09-27,2012-09-29,2012-10-02T06:30:23Z,800,Likely Voters,Live Phone,50.0,41.0,9.0,,https://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-15450,http://www.jzanalytics.com/,Nonpartisan,None,,1
ABC/Post,2012-09-26,2012-09-29,2012-10-01T06:33:58Z,813,Likely Voters,Live Phone,49.0,47.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/abc-post-15419,http://www.langerresearch.com/uploads/1141a1IntotheDebates.pdf,Nonpartisan,None,,1
UPI/CVOTER,2012-09-23,2012-09-29,2012-10-01T12:42:59Z,855,Likely Voters,Live Phone,49.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-15437,http://www.scribd.com/doc/108575814/UPI-CVoter-Tracking-Poll-10-1,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-09-24,2012-09-28,2012-09-28T17:55:34Z,855,Likely Voters,Internet,47.0,42.0,8.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15403,http://ipsos-na.com/download/pr.aspx?id=12032,Nonpartisan,None,,1
Rasmussen,2012-09-25,2012-09-27,2012-09-28T09:53:29Z,1500,Likely Voters,Automated Phone,47.0,46.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15373,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Merriman,2012-09-24,2012-09-27,2012-10-02T11:50:43Z,981,Registered Voters,Automated Phone,46.0,43.0,8.0,3.0,https://elections.huffingtonpost.com/pollster/polls/merriman-15467,http://www.merrimanriver.com/files/MRG%202012%20Presidential%20Poll.pdf,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-09-24,2012-09-27,2012-10-01T06:38:39Z,1000,Likely Voters,Live Phone,49.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15420,http://www.politico.com/news/stories/0912/81830.html?hp=l1,Nonpartisan,None,,1
FOX,2012-09-24,2012-09-26,2012-09-27T22:29:50Z,1092,Likely Voters,Live Phone,48.0,43.0,7.0,1.0,https://elections.huffingtonpost.com/pollster/polls/fox-15368,http://www.foxnews.com/politics/interactive/2012/09/27/fox-news-poll-voters-want-change-president-to-stand-up-for-free-speech/,Nonpartisan,None,,1
YouGov/Economist,2012-09-22,2012-09-24,2012-09-26T11:59:24Z,943,Registered Voters,Internet,48.0,43.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-15321,http://cdn.yougov.com/cumulus_uploads/document/dqvatpi3fj/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-09-22,2012-09-24,2012-09-25T09:40:34Z,1500,Likely Voters,Automated Phone,47.0,46.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15284,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Bloomberg,2012-09-21,2012-09-24,2012-09-26T06:42:19Z,789,Likely Voters,Live Phone,49.0,43.0,7.0,1.0,https://elections.huffingtonpost.com/pollster/polls/bloomberg-15316,http://media.bloomberg.com/bb/avfile/rhMzOK9Gexhs,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-09-20,2012-09-23,2012-09-25T10:17:39Z,1200,Likely Voters,Automated Phone,50.0,45.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15291,http://elections.dailykos.com/weeklypolling/2012/9/20,Sponsor,Dem,,1
Gallup,2012-09-17,2012-09-23,2012-09-24T13:03:17Z,3050,Registered Voters,Live Phone,48.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-15270,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
JZ Analytics,2012-09-21,2012-09-22,2012-09-24T07:56:53Z,860,Likely Voters,Internet,49.0,41.0,10.0,,https://elections.huffingtonpost.com/pollster/polls/jz-analytics-15255,http://www.jzanalytics.com/DATA/Crosstabs_Voters_2way_and_5way_horserace_092112,Nonpartisan,None,,1
UPI/CVOTER,2012-09-16,2012-09-22,2012-09-24T17:09:35Z,761,Likely Voters,Live Phone,49.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-15281,http://www.upi.com/Top_News/US/2012/09/24/UPI-Poll-Obama-Romney-statistically-tied/UPI-94371348497872/,Nonpartisan,None,,1
Rasmussen,2012-09-19,2012-09-21,2012-09-22T09:58:59Z,1500,Likely Voters,Automated Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15236,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-09-17,2012-09-21,2012-09-22T10:01:43Z,1616,Likely Voters,Internet,48.0,42.0,7.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15238,http://big.assets.huffingtonpost.com/Ipsos092112.pdf,Nonpartisan,None,,1
Angus-Reid,2012-09-19,2012-09-20,2012-09-23T10:45:51Z,805,Registered Voters,Internet,48.0,46.0,,6.0,https://elections.huffingtonpost.com/pollster/polls/angus-reid-15248,http://www.angus-reid.com/wp-content/uploads/2012/09/2012.09.21_Presidential_USA.pdf,Nonpartisan,None,,1
ARG,2012-09-17,2012-09-20,2012-09-21T11:55:32Z,761,Likely Voters,Live Phone,49.0,47.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/arg-15206,http://americanresearchgroup.com/,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-09-16,2012-09-20,2012-09-24T10:20:13Z,1000,Likely Voters,Live Phone,50.0,47.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15259,http://images.politico.com/global/2012/09/battlegroundpoll.html,Nonpartisan,None,,1
Allstate/National Journal,2012-09-15,2012-09-19,2012-09-21T12:48:31Z,1055,Likely Voters,Live Phone,50.0,43.0,,,https://elections.huffingtonpost.com/pollster/polls/allstate-national-journal-15211,http://www.nationaljournal.com/2012-presidential-campaign/heartland-monitor-poll-obama-leads-50-percent-to-43-percent-20120921,Nonpartisan,None,,1
Rasmussen,2012-09-16,2012-09-18,2012-09-19T09:49:39Z,1500,Likely Voters,Automated Phone,46.0,47.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15124,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
UConn/Hartford Courant,2012-09-11,2012-09-18,2012-09-20T14:36:26Z,1148,Likely Voters,Live Phone,46.0,43.0,8.0,2.0,https://elections.huffingtonpost.com/pollster/polls/uconn-hartford-courant-15177,http://today.uconn.edu/blog/2012/09/uconncourant-poll-presidential-race-close-but-majority-thinks-obama-will-win/,Nonpartisan,None,,1
YouGov/Economist,2012-09-15,2012-09-17,2012-09-19T11:06:58Z,943,Registered Voters,Internet,49.0,44.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-15131,http://cdn.yougov.com/cumulus_uploads/document/w8gq8k2j9r/econToplines.pdf,Nonpartisan,None,,1
Reason/Rupe,2012-09-13,2012-09-17,2012-09-21T12:20:21Z,787,Likely Voters,Live Phone,52.0,45.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/reason-rupe-15209,http://reason.com/assets/db/13481953038600.pdf,Nonpartisan,None,,1
AP-GfK,2012-09-13,2012-09-17,2012-09-19T06:33:34Z,807,Likely Voters,Live Phone,47.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/ap-gfk-15121,http://ap-gfkpoll.com/main/wp-content/uploads/2012/09/AP-GfK-Poll-September-2012-Topline_1st-release.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-09-13,2012-09-16,2012-09-18T11:53:59Z,1000,Likely Voters,Automated Phone,50.0,46.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15102,http://elections.dailykos.com/weeklypolling/2012/9/13,Sponsor,Dem,,1
Monmouth,2012-09-13,2012-09-16,2012-09-17T13:55:59Z,1344,Likely Voters,IVR/Live Phone,48.0,45.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/monmouth-15086,http://www.monmouth.edu/assets/0/84/159/2147483694/31a5695e-db0d-4272-b292-b9640f4ff7fb.pdf,Nonpartisan,None,,1
Pew,2012-09-12,2012-09-16,2012-09-19T14:04:09Z,2192,Likely Voters,Live Phone,51.0,43.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/pew-15141,http://www.people-press.org/2012/09/19/obama-ahead-with-stronger-support-better-image-and-lead-on-most-issues/,Nonpartisan,None,,1
NBC/WSJ,2012-09-12,2012-09-16,2012-09-18T18:58:01Z,736,Likely Voters,Live Phone,50.0,45.0,3.0,3.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-15117,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/September_WSJ_NBC_Poll.pdf,Nonpartisan,None,,1
Gallup,2012-09-10,2012-09-16,2012-09-17T12:58:50Z,3050,Registered Voters,Live Phone,48.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-15081,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-09-13,2012-09-15,2012-09-16T11:32:37Z,1500,Likely Voters,Automated Phone,46.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-15063,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
UPI/CVOTER,2012-09-08,2012-09-14,2012-09-18T10:39:59Z,1036,Likely Voters,Live Phone,49.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/upi-cvoter-15099,http://www.upi.com/Top_News/US/2012/09/16/UPI-Poll-Obama-holds-lead-over-Romney/UPI-69521347819340/,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-09-09,2012-09-13,2012-09-13T18:16:47Z,990,Likely Voters,Internet,48.0,41.0,8.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-15027,http://big.assets.huffingtonpost.com/IpsosReuters120913.pdf,Nonpartisan,None,,1
JZ Analytics,2012-09-11,2012-09-12,2012-09-13T22:10:21Z,1014,Likely Voters,Internet,48.0,42.0,10.0,,https://elections.huffingtonpost.com/pollster/polls/jz-analytics-15031,http://www.jzanalytics.com/DATA/Crosstabs_US_Voters_091112.pdf,Nonpartisan,None,,1
Rasmussen,2012-09-10,2012-09-12,2012-09-13T09:53:38Z,1500,Likely Voters,Automated Phone,46.0,47.0,5.0,3.0,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14995,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
CBS/Times,2012-09-08,2012-09-12,2012-09-14T10:21:30Z,1162,Likely Voters,Live Phone,49.0,46.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/cbs-times-15036,http://s3.documentcloud.org/documents/432864/latest-cbs-news-new-york-times-poll.pdf,Nonpartisan,None,,1
Democracy Corps (D),2012-09-08,2012-09-12,2012-09-13T11:54:14Z,1000,Likely Voters,Live Phone,50.0,45.0,2.0,2.0,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-15006,http://www.democracycorps.com/attachments/article/908/dcor.political.fq.09132012.web.pdf,Pollster,Dem,,1
FOX,2012-09-09,2012-09-11,2012-09-12T18:43:03Z,1056,Likely Voters,Live Phone,48.0,43.0,8.0,1.0,https://elections.huffingtonpost.com/pollster/polls/fox-14991,http://www.foxnews.com/politics/interactive/2012/09/12/fox-news-poll-obama-tops-romney-in-post-convention-poll-most-say-country-still/,Nonpartisan,None,,1
YouGov/Economist,2012-09-08,2012-09-10,2012-09-12T10:41:12Z,818,Registered Voters,Internet,49.0,45.0,2.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14980,http://cdn.yougov.com/cumulus_uploads/document/38mwx7z6ey/econToplines.pdf,Nonpartisan,None,,1
Esquire/Yahoo! News,2012-09-07,2012-09-10,2012-09-13T11:31:57Z,724,Likely Voters,Live Phone,50.0,46.0,4.0,1.0,https://elections.huffingtonpost.com/pollster/polls/esquire-yahoo-news-15005,http://www.esquire.com/cm/esquire/data/esquire-yahoo-results-1.pdf,Nonpartisan,None,,1
Ipsos/Reuters,2012-09-07,2012-09-10,2012-09-12T10:21:27Z,873,Likely Voters,Live Phone,48.0,45.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-14978,http://big.assets.huffingtonpost.com/ReutersIpsosSeptember2012.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-09-07,2012-09-09,2012-09-11T10:23:02Z,1000,Likely Voters,Automated Phone,50.0,44.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14960,http://elections.dailykos.com/weeklypolling/2012/9/7,Sponsor,Dem,,1
ABC/Post,2012-09-07,2012-09-09,2012-09-11T07:15:11Z,710,Likely Voters,Live Phone,49.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/abc-post-14957,http://www.langerresearch.com/uploads/1140a1AftertheConventions.pdf,Nonpartisan,None,,1
CNN,2012-09-07,2012-09-09,2012-09-10T16:19:11Z,709,Likely Voters,Live Phone,52.0,46.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/cnn-14952,http://politicalticker.blogs.cnn.com/2012/09/10/cnn-poll-obama-up-six-points-over-romney/,Nonpartisan,None,,1
Rasmussen,2012-09-07,2012-09-09,2012-09-10T09:55:26Z,1500,Likely Voters,Automated Phone,50.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14941,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-09-04,2012-09-09,2012-09-10T15:35:32Z,808,Registered Voters,Live Phone,46.0,44.0,10.0,,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-14951,http://www.tipponline.com/presidency/news/presidency/race-tightens-as-obama-advantage-narrows-to-2-points,Nonpartisan,None,,1
Gallup,2012-09-03,2012-09-09,2012-09-11T13:11:51Z,3000,Registered Voters,Live Phone,49.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14967,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-09-04,2012-09-08,2012-09-08T22:33:20Z,1457,Likely Voters,Internet,47.0,43.0,8.0,2.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14933,http://big.assets.huffingtonpost.com/reutersipsos090812.pdf,Nonpartisan,None,,1
ARG,2012-09-04,2012-09-06,2012-09-07T12:45:32Z,1200,Likely Voters,Live Phone,46.0,49.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/arg-14921,http://americanresearchgroup.com/economy/,Nonpartisan,None,,1
Rasmussen,2012-09-04,2012-09-06,2012-09-07T10:26:10Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14910,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-09-01,2012-09-03,2012-09-05T12:41:21Z,737,Registered Voters,Internet,47.0,46.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14895,http://cdn.yougov.com/cumulus_uploads/document/xlycixojrf/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-09-01,2012-09-03,2012-09-04T10:18:09Z,1500,Likely Voters,Automated Phone,45.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14873,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
CNN,2012-08-31,2012-09-03,2012-09-04T16:19:49Z,735,Likely Voters,Live Phone,48.0,48.0,3.0,,https://elections.huffingtonpost.com/pollster/polls/cnn-14889,http://politicalticker.blogs.cnn.com/2012/09/04/cnn-poll-did-romney-get-a-convention-bounce/,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-08-29,2012-09-02,2012-09-03T02:01:11Z,1126,Likely Voters,Internet,45.0,45.0,7.0,3.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14857,http://big.assets.huffingtonpost.com/ipsos090212.pdf,Nonpartisan,None,,1
Gallup,2012-08-27,2012-09-02,2012-09-04T10:20:45Z,3000,Registered Voters,Live Phone,47.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14875,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-08-29,2012-08-31,2012-09-03T02:07:09Z,1500,Likely Voters,Automated Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14860,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-08-25,2012-08-29,2012-08-29T17:33:12Z,1545,Registered Voters,Internet,43.0,43.0,10.0,4.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14831,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=5739,Nonpartisan,None,,1
Rasmussen,2012-08-26,2012-08-28,2012-08-29T10:22:53Z,1500,Likely Voters,Automated Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14820,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Ipsos/Reuters (Web),2012-08-24,2012-08-28,2012-08-28T18:05:45Z,1325,Likely Voters,Internet,45.0,43.0,8.0,4.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14818,http://big.assets.huffingtonpost.com/ReutersIpsosConvention082812.pdf,Nonpartisan,None,,1
YouGov/Economist,2012-08-25,2012-08-27,2012-08-29T13:06:06Z,759,Registered Voters,Internet,46.0,47.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14826,http://cdn.yougov.com/cumulus_uploads/document/k7rcu50rvy/econToplines.pdf,Nonpartisan,None,,1
Democracy Corps (D),2012-08-23,2012-08-27,2012-08-29T13:20:41Z,1000,Likely Voters,Live Phone,49.0,47.0,2.0,1.0,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-14827,http://www.democracycorps.com/attachments/article/906/dcor.nat.polt.082812.pdf,Pollster,Dem,,1
DailyKos/SEIU/PPP (D),2012-08-23,2012-08-26,2012-08-28T12:15:01Z,1000,Registered Voters,Automated Phone,50.0,44.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14809,http://elections.dailykos.com/weeklypolling/2012/8/23,Sponsor,Dem,,1
CBS,2012-08-22,2012-08-26,2012-08-28T10:19:23Z,1051,Registered Voters,Live Phone,46.0,45.0,8.0,2.0,https://elections.huffingtonpost.com/pollster/polls/cbs-14807,http://www.scribd.com/doc/104119402/Aug1b-Ctm-Elec?secret_password=24vdx7v29toba1fa1ie,Nonpartisan,None,,1
Gallup,2012-08-20,2012-08-26,2012-08-27T13:02:23Z,3000,Registered Voters,Live Phone,46.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14798,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-08-23,2012-08-25,2012-08-27T09:43:13Z,1500,Likely Voters,Automated Phone,47.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14772,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
ABC/Post,2012-08-22,2012-08-25,2012-08-27T09:51:37Z,857,Registered Voters,Live Phone,46.0,47.0,3.0,5.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-14781,http://www.langerresearch.com/uploads/1139a1IntotheConventions.pdf,Nonpartisan,None,,1
CNN,2012-08-22,2012-08-23,2012-08-24T16:18:55Z,719,Likely Voters,Live Phone,49.0,47.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/cnn-14768,http://i2.cdn.turner.com/cnn/2012/images/08/24/rel8a.pdf,Nonpartisan,None,,1
Tarrance (R),2012-08-19,2012-08-23,2012-08-27T10:10:05Z,801,Likely Voters,Live Phone,47.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/tarrance-r-14782,http://thepublicnotice.org/wp-content/uploads/2012/08/Public-Notice-August-Monitor-Survey.-Release-copy.pdf,Pollster,Rep,,1
Rasmussen,2012-08-20,2012-08-22,2012-08-23T11:10:58Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14744,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Resurgent Republic (R),2012-08-16,2012-08-22,2012-08-27T12:26:53Z,1000,Registered Voters,Live Phone,46.0,45.0,8.0,1.0,https://elections.huffingtonpost.com/pollster/polls/resurgent-republic-r-14797,http://s3.amazonaws.com/resurgentrepublic.com/resurgentrepublic/production/assets/576/original/rr-aug-12-toplines.pdf,Pollster,Rep,,1
FOX,2012-08-19,2012-08-21,2012-08-24T10:18:40Z,1007,Likely Voters,Live Phone,44.0,45.0,7.0,3.0,https://elections.huffingtonpost.com/pollster/polls/fox-14758,http://www.foxnews.com/politics/interactive/2012/08/23/fox-news-poll-race-for-white-house-tightens/,Nonpartisan,None,,1
